category,roman_urdu,urdu_script,translated_by_llm,translated_by_google
General,mujhe apna mood fresh karne ke liye music chahiye,مجھے موڈ فریش کرنے کے لیے میوزک چاہیے,I need some music to refresh my mood,I need music to refresh my mood
General,mujhe apna calendar events review karne hain,مجھے اپنے کیلنڈر کے ایونٹس ریویو کرنے ہیں,I need to review my calendar events,I want to review my calendar events
General,mujhe ghar ke plants ko pani dena hai,مجھے گھر کے پودوں کو پانی دینا ہے,I need to water the plants,I have to water the houseplants
General,mujhe apne room ka AC filter saaf karna hai,مجھے اپنے روم کا اے سی فلٹر صاف کرنا ہے,I need to clean my room’s AC filter,I have to clean the AC filter of my room
General,mujhe ek short break lena hai,مجھے ایک مختصر بریک لینی ہے,I need to take a short break,I have to take a short break
General,mujhe apne purse ki receipts throw karni hain,مجھے اپنے پرس کی رسیدیں پھینکنی ہیں,I need to throw old receipts from my purse,I have to throw away my wallet receipts
General,mujhe aaj light lunch rakhna hai,مجھے آج ہلکا لنچ رکھنا ہے,I need to keep a light lunch today,I have to have a light lunch today
General,mujhe apne shoes rack arrange karna hai,مجھے اپنے شوز ریک کو ترتیب دینا ہے,I need to arrange my shoe rack,I have to organize my shoe rack
General,mujhe apna password manager update karna hai,مجھے اپنا پاس ورڈ مینیجر اپڈیٹ کرنا ہے,I need to update my password manager,I need to update my password manager
General,mujhe ghar ke curtains wash karne hain,مجھے گھر کے پردے دھونے ہیں,I need to wash the curtains,I have to wash the curtains of the house
General,mujhe apna phone backup banana hai,مجھے اپنے فون کا بیک اپ بنانا ہے,I need to back up my phone,I need to backup my phone
General,mujhe aaj thoda relax feel karna hai,مجھے آج تھوڑا ریلیکس محسوس کرنا ہے,I need to feel relaxed today,I need to feel a little relaxed today
General,mujhe apne personal notes organize karne hain,مجھے اپنے پرسنل نوٹس منظم کرنے ہیں,I need to organize my personal notes,I want to organize my personal notes
General,mujhe ghar ka microwave clean karna hai,مجھے گھر کا مائیکروویو صاف کرنا ہے,I need to clean the microwave,I have to clean the microwave at home
General,mujhe apne headphones test karne hain,مجھے اپنے ہیڈ فونز ٹیسٹ کرنے ہیں,I need to test my headphones,I have to test my headphones
General,mujhe kisi se important message draft karna hai,مجھے کسی کو اہم میسج ڈرافٹ کرنا ہے,I need to draft an important message,I have to draft an important message to someone
General,mujhe apne slippers replace karne hain,مجھے اپنے سلیپرز تبدیل کرنے ہیں,I need to replace my slippers,I have to change my slippers
General,mujhe ghar ke fans clean karne hain,مجھے گھر کے فین صاف کرنے ہیں,I need to clean the fans,I have to clean the fans of the house
General,mujhe aaj zyada screen time avoid karna hai,مجھے آج زیادہ اسکرین ٹائم سے بچنا ہے,I need to avoid too much screen time today,I have to avoid too much screen time today
General,mujhe apne car documents check karne hain,مجھے اپنی گاڑی کے کاغذات چیک کرنے ہیں,I need to check my car documents,I need to check my car documents
General,mujhe ghar ka gas stove clean karna hai,مجھے گھر کا گیس اسٹوو صاف کرنا ہے,I need to clean the gas stove,I have to clean the gas stove of the house
General,mujhe apna lunchbox wash karna hai,مجھے اپنا لنچ باکس دھونا ہے,I need to wash my lunchbox,I have to wash my lunch box
General,mujhe aaj kisi se milne ka schedule banana hai,مجھے آج کسی سے ملنے کا شیڈول بنانا ہے,I need to schedule a meeting with someone today,I have to make an appointment with someone today
General,mujhe apna internet speed test karna hai,مجھے اپنا انٹرنیٹ سپیڈ ٹیسٹ کرنا ہے,I need to test my internet speed,I want to test my internet speed
General,mujhe apne phone ki storage clean karni hai,مجھے اپنے فون کی اسٹوریج صاف کرنی ہے,I need to clean my phone storage,I need to clear my phone storage
General,mujhe apna toothbrush replace karna hai,مجھے اپنا ٹوتھ برش تبدیل کرنا ہے,I need to replace my toothbrush,I have to change my toothbrush
General,mujhe new notebook cover decorate karna hai,مجھے نیا نوٹ بک کور سجانا ہے,I want to decorate my new notebook cover,I have to decorate a new notebook cover
General,mujhe kitchen ke jars label karne hain,مجھے کچن کے جارز لیبل کرنے ہیں,I need to label the kitchen jars,I have to label the kitchen jars
General,mujhe apni monthly expenses track karni hain,مجھے اپنے ماہانہ اخراجات ٹریک کرنے ہیں,I need to track my monthly expenses,I want to track my monthly expenses
General,mujhe ek new playlist banana hai,مجھے ایک نئی پلے لسٹ بنانی ہے,I need to create a new playlist,I want to make a new playlist
General,mujhe apne wifi router restart karna hai,مجھے اپنا وائی فائی روٹر ری اسٹارٹ کرنا ہے,I need to restart my WiFi router,I have to restart my wifi router
General,mujhe ghar ke cushions wash karne hain,مجھے گھر کے کشن دھونے ہیں,I need to wash the cushions,I have to wash the cushions at home
General,mujhe aaj thoda time apne liye rakhna hai,مجھے آج تھوڑا وقت اپنے لیے رکھنا ہے,I need to keep some time for myself today,I have to take some time for myself today
General,mujhe apna laptop shutdown karna hai,مجھے اپنا لیپ ٹاپ شٹ ڈاؤن کرنا ہے,I need to shut down my laptop,I have to shut down my laptop
General,mujhe apne phone ki brightness adjust karni hai,مجھے اپنے فون کی برائٹنس ایڈجسٹ کرنی ہے,I need to adjust my phone brightness,I have to adjust the brightness of my phone
General,mujhe ghar ka floor mop karna hai,مجھے گھر کا فلور موپ کرنا ہے,I need to mop the floor,I have to mop the floor of the house
General,mujhe aaj thodi der silence chahiye,مجھے آج تھوڑی دیر خاموشی چاہیے,I need some silence today,I need some quiet time today
General,mujhe ghar ke remote controls check karne hain,مجھے گھر کے ریموٹ کنٹرولز چیک کرنے ہیں,I need to check the remote controls,I have to check the home remote controls
General,mujhe apne table lamp ko clean karna hai,مجھے اپنے ٹیبل لیمپ کو صاف کرنا ہے,I need to clean my table lamp,I have to clean my table lamp
General,mujhe apni car ki windows clean karni hain,مجھے اپنی گاڑی کی ونڈوز صاف کرنی ہیں,I need to clean my car windows,I have to clean my car windows
General,mujhe aaj kisi se positive baat karni hai,مجھے آج کسی سے مثبت بات کرنی ہے,I want to talk positively with someone today,I have to talk positively with someone today
General,mujhe another reminder set karna hai kal ke liye,مجھے کل کے لیے ایک اور ریمائنڈر سیٹ کرنا ہے,I need to set another reminder for tomorrow,I have to set another reminder for tomorrow
General,mujhe apne room ki extra cheezein remove karni hain,مجھے اپنے روم کی فالتو چیزیں نکالنی ہیں,I need to remove extra items from my room,I need to get rid of my room's extras
General,mujhe aaj thoda productive feel karna hai,مجھے آج تھوڑا پروڈکٹیو محسوس کرنا ہے,I want to feel productive today,I need to feel a little productive today
General,mujhe kitchen ka sink clean karna hai,مجھے کچن کا سنک صاف کرنا ہے,I need to clean the kitchen sink,I have to clean the kitchen sink
General,mujhe apne phone ki ringtones change karni hain,مجھے اپنے فون کی رنگ ٹونز تبدیل کرنی ہیں,I need to change my phone ringtones,I want to change my phone ringtones
General,mujhe ghar ke dustbin bags replace karne hain,مجھے گھر کے ڈسٹ بن بیگز تبدیل کرنے ہیں,I need to replace the dustbin bags,I have to change the dust bin bags in the house
General,mujhe apni old files delete karni hain,مجھے اپنی پرانی فائلز ڈیلیٹ کرنی ہیں,I need to delete my old files,I want to delete my old files
General,mujhe apna pen stand organize karna hai,مجھے اپنا پین اسٹینڈ منظم کرنا ہے,I need to organize my pen stand,I have to organize my pen stand
General,mujhe ghar ki extra bottles recycle karni hain,مجھے گھر کی فالتو بوتلیں ری سائیکل کرنی ہیں,I need to recycle the extra bottles at home,I have to recycle the spare bottles at home
General,mujhe apne room ki lights check karni hain,مجھے اپنے روم کی لائٹس چیک کرنی ہیں,I need to check my room lights,I have to check the lights in my room
General,mujhe apne mobile ka hotspot test karna hai,مجھے اپنے موبائل کا ہاٹ اسپاٹ ٹیسٹ کرنا ہے,I need to test my phone’s hotspot,I want to test the hotspot of my mobile
General,mujhe aaj apne liye thoda me-time chahiye,مجھے آج اپنے لیے تھوڑا می ٹائم چاہیے,I need some me-time today,I need a little me time today
General,mujhe apni old photos organize karni hain,مجھے اپنی پرانی تصاویر منظم کرنی ہیں,I need to organize my old photos,I need to organize my old photos
General,mujhe ghar ke mirror ko clean karna hai,مجھے گھر کے آئینے صاف کرنے ہیں,I need to clean the mirrors at home,I have to clean the mirrors at home
General,mujhe apne laptop ka fan noise check karna hai,مجھے اپنے لیپ ٹاپ کے فین کا شور چیک کرنا ہے,I need to check my laptop fan noise,I have to check my laptop fan noise
General,mujhe aaj ek short nap leni hai,مجھے آج ایک مختصر نیپ لینی ہے,I need to take a short nap today,I have to take a short nap today
General,mujhe apni favorite book shelf par rakhni hai,مجھے اپنی پسندیدہ کتاب شیلف پر رکھنی ہے,I need to place my favourite book on the shelf,I have to put my favorite book on the shelf
General,mujhe apne ghar ka door lock oil karna hai,مجھے گھر کے دروازے کے لاک میں تیل ڈالنا ہے,I need to oil the door lock,I have to put oil in the door lock of the house
General,mujhe apne mouse ki battery check karni hai,مجھے اپنے ماؤس کی بیٹری چیک کرنی ہے,I need to check my mouse battery,I need to check my mouse battery
General,mujhe aaj thodi der balcony ko sweep karna hai,مجھے آج تھوڑی دیر بالکونی صاف کرنی ہے,I need to sweep the balcony today,I have to clean the balcony for a while today
General,mujhe ek new water bottle fill karni hai,مجھے ایک نئی پانی کی بوتل بھرنی ہے,I need to fill a new water bottle,I need to fill a new water bottle
General,mujhe apne phone ka cache clear karna hai,مجھے اپنے فون کا کیش کلیئر کرنا ہے,I need to clear my phone’s cache,I need to clear my phone cache
General,mujhe aaj ek healthy snack banana hai,مجھے آج ایک صحت مند اسنیک بنانا ہے,I need to make a healthy snack today,I have to make a healthy snack today
General,mujhe apne bathroom ka mat wash karna hai,مجھے اپنے باتھ روم کا میٹ دھونا ہے,I need to wash the bathroom mat,I have to wash my bathroom mat
General,mujhe ghar ke slippers safe place par rakhne hain,مجھے گھر کے سلیپرز محفوظ جگہ رکھنا ہے,I need to keep the slippers in a safe place,I have to keep the sleepers of the house safe
General,mujhe apna room ka perfume spray karna hai,مجھے اپنے کمرے میں پرفیوم اسپرے کرنا ہے,I need to spray fragrance in my room,I have to spray perfume in my room
General,mujhe apna internet router ki wires check karni hain,مجھے انٹرنیٹ روٹر کی تاریں چیک کرنی ہیں,I need to check the router wires,I have to check the internet router wiring
General,mujhe apne laptop ka wallpaper change karna hai,مجھے اپنے لیپ ٹاپ کا وال پیپر تبدیل کرنا ہے,I need to change my laptop wallpaper,I want to change my laptop wallpaper
General,mujhe apni personal notebook ko update karna hai,مجھے اپنی پرسنل نوٹ بک اپڈیٹ کرنی ہے,I need to update my personal notebook,I need to update my personal notebook
General,mujhe kitchen ka counter wipe karna hai,مجھے کچن کا کاؤنٹر صاف کرنا ہے,I need to wipe the kitchen counter,I have to clean the kitchen counter
General,mujhe aaj thodi der slow music sunna hai,مجھے آج تھوڑی دیر سلو میوزک سننا ہے,I want to listen to some slow music,I want to listen to some slow music today
General,mujhe apne phone ki useless apps delete karni hain,مجھے اپنے فون کی فالتو ایپس ڈیلیٹ کرنی ہیں,I need to delete useless apps from my phone,I want to delete redundant apps from my phone
General,mujhe room ka carpet brush karna hai,مجھے روم کا کارپٹ برش کرنا ہے,I need to brush the room carpet,I have to brush the carpet in the room
General,mujhe apna laundry basket empty karna hai,مجھے اپنا لانڈری باسکٹ خالی کرنا ہے,I need to empty my laundry basket,I have to empty my laundry basket
General,mujhe apna medicine box check karna hai,مجھے اپنے میڈیسن باکس چیک کرنا ہے,I need to check my medicine box,I have to check my medicine box
General,mujhe apne ghar ki keys safe rakhni hain,مجھے اپنے گھر کی چابیاں محفوظ رکھنی ہیں,I need to keep my house keys safe,I have to keep my house keys safe
General,mujhe aaj thoda fresh juice banana hai,مجھے آج تازہ جوس بنانا ہے,I need to make some fresh juice today,I have to make fresh juice today
General,mujhe apne table par se clutter remove karna hai,مجھے اپنی میز سے فالتو چیزیں ہٹانی ہیں,I need to remove clutter from my table,I want to clear the clutter from my desk
General,mujhe shoes polish karne hain,مجھے جوتے پالش کرنے ہیں,I need to polish my shoes,I have to polish my shoes
General,mujhe ghar ka entrance clean karna hai,مجھے گھر کا دروازہ صاف کرنا ہے,I need to clean the house entrance,I have to clean the door of the house
General,mujhe apne dustbin ki lid wash karni hai,مجھے ڈسٹ بن کا ڈھکن دھونا ہے,I need to wash the dustbin lid,I have to wash the dust bin lid
General,mujhe aaj relaxation ke liye candle jalani hai,مجھے آج ریلیکسیشن کے لیے موم بتی جلانی ہے,I need to light a candle for relaxation today,I have to light a candle for relaxation today
General,mujhe apne bed ke side table ko clean karna hai,مجھے بیڈ کے سائڈ ٹیبل کو صاف کرنا ہے,I need to clean my bedside table,I have to clean the bedside table
General,mujhe apna matress rotate karna hai,مجھے اپنا میٹریس روٹیٹ کرنا ہے,I need to rotate my mattress,I need to rotate my mattress
General,mujhe aaj thoda ghar ka ventilation improve karna hai,مجھے آج گھر کی ونٹی لیشن بہتر کرنی ہے,I need to improve home ventilation today,I have to improve the ventilation of the house today
General,mujhe apne shower gel bottle refill karni hai,مجھے اپنا شاور جیل ریفل کرنا ہے,I need to refill my shower gel,I have to refill my shower gel
General,mujhe aaj jaldi uthne ka plan banana hai,مجھے آج جلدی اٹھنے کا پلان بنانا ہے,I need to plan to wake up early today,I have to plan to get up early today
General,mujhe dining table ka glass clean karna hai,مجھے ڈائننگ ٹیبل کا شیشہ صاف کرنا ہے,I need to clean the dining table glass,I have to clean the dining table glass
General,mujhe kitchen ke spoon stand ko wash karna hai,مجھے کچن کے اسپون اسٹینڈ کو دھونا ہے,I need to wash the spoon stand,I have to wash the kitchen spoon stand
General,mujhe apne socks ko match karna hai,مجھے اپنے موزوں کو جوڑنا ہے,I need to match my socks,I have to attach my socks
General,mujhe aaj bedtime se pehle book read karni hai,مجھے آج سونے سے پہلے کتاب پڑھنی ہے,I need to read a book before bedtime,I have to read a book before going to bed today
General,mujhe apni personal diary update karni hai,مجھے اپنی پرسنل ڈائری اپڈیٹ کرنی ہے,I need to update my personal diary,I have to update my personal diary
General,mujhe refrigerator ka freezer defrost karna hai,مجھے فریزر کو ڈی فراسٹ کرنا ہے,I need to defrost the freezer,I have to defrost the freezer
General,mujhe ghar ke switches clean karne hain,مجھے گھر کے سوئچز صاف کرنے ہیں,I need to clean the switches at home,I have to clean the house switches
General,mujhe apne water dispenser ka tank wash karna hai,مجھے واٹر ڈسپنسر کا ٹینک دھونا ہے,I need to wash the water dispenser tank,I have to wash the water dispenser tank
General,mujhe apna toolkit check karna hai,مجھے اپنا ٹول کٹ چیک کرنا ہے,I need to check my toolkit,I have to check my toolkit
General,mujhe ek new sticky notes pack open karna hai,مجھے نئے سٹکی نوٹس کا پیک کھولنا ہے,I need to open a new sticky notes pack,I have to open a pack of new sticky notes
General,mujhe apne plants ki leaves wipe karni hain,مجھے پودوں کے پتے صاف کرنے ہیں,I need to wipe the leaves of my plants,I have to clean the leaves from the plants
General,mujhe ghar ke sofa cushions fluff karne hain,مجھے صوفے کے کشنز پھلانا ہیں,I need to fluff the sofa cushions,I want to upholster the sofa cushions
General,mujhe apna water consumption track karna hai,مجھے اپنا پانی کا استعمال ٹریک کرنا ہے,I need to track my water consumption,I have to track my water usage
General,mujhe apne bag ki zips check karni hain,مجھے اپنے بیگ کی زپس چیک کرنی ہیں,I need to check the zips of my bag,I have to check the zippers of my bag
General,mujhe ghar ke windows ke frames clean karne hain,مجھے کھڑکی کے فریم صاف کرنے ہیں,I need to clean the window frames,I have to clean the window frames
General,mujhe aaj thodi der stretching exercise karni hai,مجھے آج تھوڑی دیر اسٹریچنگ ایکسرسائز کرنی ہے,I need to do some stretching today,I have to do some stretching exercises today
General,mujhe apne cup holder ko wash karna hai,مجھے اپنے کپ ہولڈر کو دھونا ہے,I need to wash my cup holder,I have to wash my cup holder
General,mujhe apne phone ki screen protector replace karni hai,مجھے اپنے فون کا اسکرین پروٹیکٹر تبدیل کرنا ہے,I need to replace my screen protector,I need to change the screen protector of my phone
General,mujhe apne drawers ki lining change karni hai,مجھے درازوں کی لائننگ تبدیل کرنی ہے,I need to change the drawer lining,I need to change the lining of the drawers
General,mujhe apne earbuds clean karne hain,مجھے اپنے ایئربڈز صاف کرنے ہیں,I need to clean my earbuds,I have to clean my earbuds
General,mujhe house entrance mat shake karna hai,مجھے گھر کے دروازے کا میٹ جھاڑنا ہے,I need to shake the entrance mat,I have to sweep the doormat of the house
General,mujhe fridge ki lights check karni hain,مجھے فریج کی لائٹس چیک کرنی ہیں,I need to check the fridge light,I have to check the fridge lights
General,mujhe kitchen ke mugs arrange karne hain,مجھے کچن کے مگز ترتیب دینے ہیں,I need to arrange the kitchen mugs,I have to arrange the kitchen mugs
General,mujhe apna morning routine thoda improve karna hai,مجھے اپنا صبح کا روٹین بہتر کرنا ہے,I need to improve my morning routine,I need to improve my morning routine
General,mujhe apni power bank ko charge karna hai,مجھے پاور بینک چارج کرنا ہے,I need to charge my power bank,I have to charge the power bank
General,mujhe apna laundry powder refill karna hai,مجھے لانڈری پاؤڈر ریفل کرنا ہے,I need to refill laundry detergent,I have to refill the laundry powder
General,mujhe apne pillow covers wash karne hain,مجھے اپنے تکیے کے غلاف دھونے ہیں,I need to wash my pillow covers,I have to wash my pillowcases
General,mujhe aaj thodi positivity chahiye,مجھے آج تھوڑی پوزیٹیویٹی چاہیے,I need some positivity today,I need a little positivity today
General,mujhe apne slippers ko dry place par rakhna hai,مجھے سلیپرز کو خشک جگہ رکھنا ہے,I need to keep my slippers in a dry place,I have to keep the sleepers dry
General,mujhe apni books dust-free rakhni hain,مجھے اپنی کتابیں ڈسٹ فری رکھنی ہیں,I need to keep my books dust-free,I want to keep my books dust free
General,mujhe apne car dashboard ko clean karna hai,مجھے گاڑی کا ڈیش بورڈ صاف کرنا ہے,I need to clean my car dashboard,I have to clean the dashboard of the car
General,mujhe aaj apna water jug refill karna hai,مجھے آج اپنا پانی کا جگ بھرنا ہے,I need to refill my water jug,I have to fill my water jug ​​today
General,mujhe apne phone ka emergency contact update karna hai,مجھے اپنے فون کا ایمرجنسی کانٹیکٹ اپڈیٹ کرنا ہے,I need to update my phone’s emergency contact,I need to update my phone's emergency contact
General,mujhe ghar ke doormats clean karne hain,مجھے گھر کے ڈور میٹس صاف کرنے ہیں,I need to clean the doormats,I have to clean the doormats of the house
General,mujhe aaj thoda nature dekhna hai,مجھے آج تھوڑی طبیعت دیکھنی ہے,I want to enjoy nature today,I have to see some health today
General,mujhe apne shelves ki spacing adjust karni hai,مجھے اپنی شیلف کی اسپیسنگ ایڈجسٹ کرنی ہے,I need to adjust the shelf spacing,I need to adjust my shelf spacing
General,mujhe apne purse ki old cards remove karne hain,مجھے اپنے پرس کے پرانے کارڈز نکالنے ہیں,I need to remove old cards from my purse,I have to get out my old wallet cards
General,mujhe aaj ek short gratitude note likhna hai,مجھے آج ایک مختصر شکرگزاری نوٹ لکھنا ہے,I need to write a short gratitude note today,I have to write a short thank you note today
General,mujhe apne floor wiper ko wash karna hai,مجھے فلور وائپر دھونا ہے,I need to wash the floor wiper,I have to wash the floor wiper
General,mujhe apne curtains ki hooks check karni hain,مجھے پردوں کے ہکس چیک کرنے ہیں,I need to check the curtain hooks,I have to check the curtain hooks
General,mujhe apna drawer lock fix karna hai,مجھے اپنا دراز کا لاک ٹھیک کرنا ہے,I need to fix my drawer lock,I need to fix my drawer lock
General,mujhe kitchen ka dustbin clean karna hai,مجھے کچن کا ڈسٹ بن صاف کرنا ہے,I need to clean the kitchen dustbin,I have to clean the dust bin in the kitchen
General,mujhe alarm tone change karni hai,مجھے الارم ٹون تبدیل کرنی ہے,I need to change my alarm tone,I want to change the alarm tone
General,mujhe apni important receipts scan karni hain,مجھے اہم رسیدیں اسکین کرنی ہیں,I need to scan my important receipts,I need to scan important receipts
General,mujhe aaj thoda quiet environment chahiye,مجھے آج تھوڑا پر سکون ماحول چاہیے,I need a quiet environment today,I need a bit of a relaxed atmosphere today
General,mujhe apne house slippers wash karne hain,مجھے گھر کے سلیپرز دھونے ہیں,I need to wash the house slippers,I have to wash the house slippers
General,mujhe apni wardrobe ke hangers sort karne hain,مجھے وارڈروب کے ہینگرز ترتیب دینے ہیں,I need to sort the wardrobe hangers,I have to organize the wardrobe hangers
General,mujhe apna dining mat clean karna hai,مجھے ڈائننگ میٹ صاف کرنا ہے,I need to clean the dining mat,I have to clean the dining mat
General,mujhe aaj new to-do list banani hai,مجھے آج نئی ٹو ڈو لسٹ بنانی ہے,I need to make a new to-do list today,I have to make a new to-do list today
General,mujhe apni table ki drawers empty karni hain,مجھے ٹیبل کی درازیں خالی کرنی ہیں,I need to empty my table drawers,I have to empty the drawers of the table
General,mujhe apna nail cutter dhoondna hai,مجھے اپنا نیل کٹر ڈھونڈنا ہے,I need to find my nail cutter,I need to find my nail cutter
General,mujhe apne old notebooks arrange karni hain,مجھے اپنی پرانی نوٹ بکس ترتیب دینی ہیں,I need to arrange my old notebooks,I need to organize my old notebooks
General,mujhe calendar ka current month page flip karna hai,مجھے کیلنڈر کا موجودہ مہینہ پلٹنا ہے,I need to flip the calendar to the current month,I want to flip the current month of the calendar
General,main ghar ka wifi password yaad nahi kar pa raha,میں گھر کا وائی فائی پاس ورڈ یاد نہیں کر پا رہا,I can't remember the home WiFi password,I can't remember my home wifi password
General,mujhe kitchen ka light switch nahi mil raha,مجھے کچن کا لائٹ سوئچ نہیں مل رہا,I can't find the kitchen light switch,I can't find the kitchen light switch
General,meri pen kisi ne use ki hai kya,میری پین کسی نے استعمال کی ہے کیا؟,Did someone use my pen?,Has anyone used my pan?
General,main soch raha hoon ke aaj jaldi sojaun,میں سوچ رہا ہوں کہ آج جلدی سو جاؤں,I am thinking of sleeping early today,I'm thinking of going to bed early today
General,mujhe ek chhota sa gift wrap karwana hai,مجھے ایک چھوٹا سا گفٹ ریپ کروانا ہے,I need to get a small gift wrapped,I have a little gift wrap to do
General,main ne new year ke liye koi plan nahi banaya,میں نے نئے سال کے لیے کوئی پلان نہیں بنایا,I haven’t made any plans for the new year,I didn't make any plans for the new year
General,mujhe ek strong cup chai ki zaroorat hai,مجھے ایک مضبوط کپ چائے کی ضرورت ہے,I need a strong cup of tea,I need a strong cup of tea
General,main ghar ka temperature thora kam karna chahta hoon,میں گھر کا درجہ حرارت تھوڑا کم کرنا چاہتا ہوں,I want to lower the home temperature a bit,I want to lower the temperature of the house a little
General,mujhe apni purani files arrange karni hain,مجھے اپنی پرانی فائلز کو ترتیب دینا ہے,I need to organize my old files,I need to organize my old files
Technology,mujhe apne laptop ki battery health check karni hai,مجھے اپنے لیپ ٹاپ کی بیٹری ہیلتھ چیک کرنی ہے,I need to check my laptop's battery health,I have to check the battery health of my laptop
Technology,mobile ka storage bar bar full ho raha hai,موبائل کا اسٹوریج بار بار فل ہو رہا ہے,My phone storage keeps getting full,Mobile storage is getting full again and again
Technology,mujhe new headphones ke features dekhne hain,مجھے نئے ہیڈفونز کے فیچرز دیکھنے ہیں,I need to check the features of new headphones,I want to see the features of the new headphones
Technology,mera wifi router baar baar restart ho raha hai,میرا وائی فائی روٹر بار بار ری اسٹارٹ ہو رہا ہے,My WiFi router keeps restarting,My wifi router keeps restarting
Technology,phone ki charging bhot slow ho gayi hai,فون کی چارجنگ بہت سست ہو گئی ہے,My phone is charging very slowly,Phone charging has become very slow
Technology,mujhe ek fast SSD install karwani hai,مجھے ایک فاسٹ SSD انسٹال کروانی ہے,I need to install a fast SSD,I want to install a Fast SSD
Technology,mera tablet update nahi ho raha,میرا ٹیبلٹ اپ ڈیٹ نہیں ہو رہا,My tablet is not updating,My tablet is not updating
Technology,mujhe 4K monitor lena chahiye ya 1080p,مجھے 4K مانیٹر لینا چاہیے یا 1080p,Should I buy a 4K monitor or 1080p?,Should I get a 4K monitor or 1080p?
Technology,phone ki screen sensitivity kam ho gayi hai,فون کی اسکرین سینسٹیویٹی کم ہو گئی ہے,My phone's screen sensitivity has decreased,The screen sensitivity of the phone is reduced
Technology,mujhe apne system ka RAM upgrade karna hai,مجھے اپنے سسٹم کی ریم اپ گریڈ کرنی ہے,I need to upgrade my system RAM,I need to upgrade my system RAM
Technology,mujhe ek budget gaming mouse chahiye,مجھے ایک بجٹ گیمنگ ماؤس چاہیے,I need a budget gaming mouse,I want a budget gaming mouse
Technology,mera bluetooth speaker connect nahi ho raha,میرا بلوٹوت اسپیکر کنیکٹ نہیں ہو رہا,My Bluetooth speaker is not connecting,My bluetooth speaker is not connecting
Technology,mujhe cloud storage ka subscription lena hai,مجھے کلاؤڈ اسٹوریج کا سبسکرپشن لینا ہے,I need to get a cloud storage subscription,I want to subscribe to cloud storage
Technology,mujhe coding ke liye lightweight laptop chahiye,مجھے کوڈنگ کے لیے ہلکا پھلکا لیپ ٹاپ چاہیے,I need a lightweight laptop for coding,I need a lightweight laptop for coding
Technology,phone ka fingerprint sensor kaam nahi kar raha,فون کا فنگرپرنٹ سینسر کام نہیں کر رہا,My phone’s fingerprint sensor is not working,The fingerprint sensor of the phone is not working
Technology,mujhe ek smart home security camera chahiye,مجھے ایک اسمارٹ ہوم سیکیورٹی کیمرا چاہیے,I need a smart home security camera,I want a smart home security camera
Technology,mera hard drive strange sounds nikal raha hai,میرا ہارڈ ڈرائیو عجیب آوازیں نکال رہا ہے,My hard drive is making strange noises,My hard drive is making strange noises
Technology,mujhe apne smartwatch ka strap replace karna hai,مجھے اپنی سمارٹ واچ کا اسٹریپ تبدیل کرنا ہے,I need to replace my smartwatch strap,I need to change the strap of my smart watch
Technology,mujhe Bluetooth 5.0 wala device chahiye,مجھے بلوٹوت 5.0 والا ڈیوائس چاہیے,I need a device with Bluetooth 5.0,I need a device with Bluetooth 5.0
Technology,mera inbox spam emails se bhar gaya hai,میرا انباکس اسپام ای میلز سے بھر گیا ہے,My inbox is filled with spam emails,My inbox is flooded with spam emails
Technology,mujhe apna data secure backup karna hai,مجھے اپنا ڈیٹا محفوظ بیک اپ کرنا ہے,I need to securely back up my data,I need to backup my data securely
Technology,mujhe ek powerful graphics card dhundna hai,مجھے ایک طاقتور گرافکس کارڈ ڈھونڈنا ہے,I need to find a powerful graphics card,I need to find a powerful graphics card
Technology,phone ki auto brightness theek se kaam nahi kar rahi,فون کی آٹو برائٹنس ٹھیک سے کام نہیں کر رہی,The phone's auto brightness isn't working well,Auto brightness of the phone is not working properly
Technology,mujhe latest VR headset ke specs dekhne hain,مجھے لیٹسٹ وی آر ہیڈسیٹ کے اسپیکس دیکھنے ہیں,I need to check the specs of the latest VR headset,I want to see the specs of the latest VR headset
Technology,mera keyboard ke kuch buttons work nahi kar rahe,میرے کی بورڈ کے کچھ بٹن کام نہیں کر رہے,Some keys on my keyboard are not working,Some buttons on my keyboard are not working
Technology,mujhe ek fast charging power bank chahiye,مجھے ایک فاسٹ چارجنگ پاور بینک چاہیے,I need a fast-charging power bank,I want a fast charging power bank
Technology,mujhe apne browser ka cache clear karna hai,مجھے اپنے براؤزر کا کیش صاف کرنا ہے,I need to clear my browser cache,I have to clear my browser cache
Technology,mera email account login nahi ho raha,میرا ای میل اکاؤنٹ لاگ ان نہیں ہو رہا,My email account isn't logging in,My email account is not logging in
Technology,mobile ki touch screen glitch kar rahi hai,موبائل کی ٹچ اسکرین گلچ کر رہی ہے,My phone's touchscreen is glitching,The touch screen of the mobile is glitching
Technology,mujhe ek wireless keyboard chahiye typing ke liye,مجھے ٹائپنگ کے لیے ایک وائرلیس کی بورڈ چاہیے,I need a wireless keyboard for typing,I want a wireless keyboard for typing
Technology,mujhe 5G support wala phone dekhna hai,مجھے 5G سپورٹ والا فون دیکھنا ہے,I need to check a phone with 5G support,I want to see a phone with 5G support
Technology,tablet ki battery jaldi drain ho rahi hai,ٹیبلٹ کی بیٹری جلدی ڈرین ہو رہی ہے,My tablet battery is draining fast,The tablet battery is draining quickly
Technology,mujhe mobile data usage track karna hai,مجھے موبائل ڈیٹا یوزج ٹریک کرنا ہے,I need to track mobile data usage,I want to track mobile data usage
